ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2009, Month=  8, Day= 24, Hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   70.00, Longitude=  267.00, Height=   100.00
Prof. parameters: Start=   100.00 Stop=  1000.00 Step=    20.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  O, cm-3 
3  N2, cm-3
4  O2, cm-3
5  He, cm-3 
6  Ar, cm-3
7  H, cm-3
8  N, cm-3

1         2         3         4         5         6         7         8         
  100.0  2.319E+11  7.579E+12  1.801E+12  6.929E+07  7.676E+10  1.704E+07  2.757E+05
  120.0  4.777E+10  3.300E+11  5.147E+10  8.343E+06  1.860E+09  3.745E+06  1.503E+06
  140.0  1.379E+10  5.261E+10  5.827E+09  3.895E+06  1.948E+08  1.115E+06  8.022E+06
  160.0  6.209E+09  1.559E+10  1.507E+09  2.938E+06  3.724E+07  4.871E+05  2.209E+07
  180.0  3.341E+09  5.745E+09  5.149E+08  2.438E+06  9.184E+06  3.015E+05  3.162E+07
  200.0  1.956E+09  2.343E+09  1.939E+08  2.098E+06  2.582E+06  2.354E+05  3.025E+07
  220.0  1.194E+09  1.007E+09  7.613E+07  1.838E+06  7.783E+05  2.073E+05  2.353E+07
  240.0  7.455E+08  4.465E+08  3.056E+07  1.626E+06  2.442E+05  1.930E+05  1.668E+07
  260.0  4.717E+08  2.016E+08  1.244E+07  1.446E+06  7.857E+04  1.841E+05  1.138E+07
  280.0  3.010E+08  9.213E+07  5.111E+06  1.291E+06  2.570E+04  1.775E+05  7.685E+06
  300.0  1.932E+08  4.248E+07  2.116E+06  1.154E+06  8.508E+03  1.721E+05  5.183E+06
  320.0  1.245E+08  1.972E+07  8.821E+05  1.034E+06  2.844E+03  1.671E+05  3.507E+06
  340.0  8.058E+07  9.211E+06  3.699E+05  9.270E+05  9.587E+02  1.624E+05  2.383E+06
  360.0  5.230E+07  4.324E+06  1.560E+05  8.319E+05  3.255E+02  1.581E+05  1.626E+06
  380.0  3.404E+07  2.040E+06  6.611E+04  7.472E+05  1.113E+02  1.539E+05  1.113E+06
  400.0  2.222E+07  9.670E+05  2.817E+04  6.715E+05  3.832E+01  1.498E+05  7.648E+05
  420.0  1.454E+07  4.604E+05  1.207E+04  6.040E+05  1.328E+01  1.459E+05  5.270E+05
  440.0  9.540E+06  2.202E+05  5.194E+03  5.436E+05  4.629E+00  1.421E+05  3.641E+05
  460.0  6.274E+06  1.058E+05  2.247E+03  4.895E+05  1.624E+00  1.384E+05  2.520E+05
  480.0  4.137E+06  5.103E+04  9.768E+02  4.411E+05  5.732E-01  1.349E+05  1.750E+05
  500.0  2.734E+06  2.473E+04  4.267E+02  3.977E+05  2.036E-01  1.314E+05  1.218E+05
  520.0  1.812E+06  1.203E+04  1.873E+02  3.588E+05  7.274E-02  1.281E+05  8.498E+04
  540.0  1.203E+06  5.877E+03  8.261E+01  3.239E+05  2.614E-02  1.248E+05  5.940E+04
  560.0  8.009E+05  2.883E+03  3.661E+01  2.926E+05  9.452E-03  1.217E+05  4.160E+04
  580.0  5.344E+05  1.420E+03  1.630E+01  2.644E+05  3.438E-03  1.187E+05  2.920E+04
  600.0  3.574E+05  7.026E+02  7.291E+00  2.391E+05  1.257E-03  1.157E+05  2.054E+04
  620.0  2.396E+05  3.489E+02  3.276E+00  2.164E+05  4.626E-04  1.129E+05  1.447E+04
  640.0  1.610E+05  1.740E+02  1.479E+00  1.959E+05  1.712E-04  1.101E+05  1.022E+04
  660.0  1.084E+05  8.708E+01  6.706E-01  1.775E+05  6.370E-05  1.074E+05  7.230E+03
  680.0  7.315E+04  4.376E+01  3.055E-01  1.608E+05  2.384E-05  1.048E+05  5.125E+03
  700.0  4.948E+04  2.208E+01  1.398E-01  1.459E+05  8.969E-06  1.023E+05  3.641E+03
  720.0  3.354E+04  1.118E+01  6.422E-02  1.324E+05  3.394E-06  9.981E+04  2.591E+03
  740.0  2.279E+04  5.685E+00  2.964E-02  1.202E+05  1.291E-06  9.743E+04  1.847E+03
  760.0  1.552E+04  2.901E+00  1.374E-02  1.092E+05  4.939E-07  9.511E+04  1.320E+03
  780.0  1.059E+04  1.486E+00  6.398E-03  9.921E+04  1.899E-07  9.287E+04  9.445E+02
  800.0  7.239E+03  7.641E-01  2.991E-03  9.021E+04  7.343E-08  9.069E+04  6.773E+02
  820.0  4.961E+03  3.943E-01  1.405E-03  8.208E+04  2.854E-08  8.857E+04  4.865E+02
  840.0  3.406E+03  2.042E-01  6.623E-04  7.472E+04  1.115E-08  8.651E+04  3.502E+02
  860.0  2.344E+03  1.062E-01  3.136E-04  6.805E+04  4.380E-09  8.452E+04  2.525E+02
  880.0  1.616E+03  5.540E-02  1.491E-04  6.201E+04  1.729E-09  8.258E+04  1.824E+02
  900.0  1.117E+03  2.901E-02  7.117E-05  5.654E+04  6.861E-10  8.069E+04  1.320E+02
  920.0  7.731E+02  1.524E-02  3.411E-05  5.157E+04  2.736E-10  7.886E+04  9.565E+01
  940.0  5.363E+02  8.037E-03  1.642E-05  4.707E+04  1.097E-10  7.707E+04  6.946E+01
  960.0  3.728E+02  4.253E-03  7.932E-06  4.297E+04  4.418E-11  7.534E+04  5.053E+01
  980.0  2.596E+02  2.258E-03  3.848E-06  3.926E+04  1.789E-11  7.366E+04  3.682E+01
 1000.0  1.812E+02  1.203E-03  1.874E-06  3.588E+04  7.277E-12  7.202E+04  2.688E+01
