ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2019, Month= 12, Day= 25, Hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   70.00, Longitude=  267.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=    20.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  O, cm-3 
3  N2, cm-3
4  O2, cm-3
5  He, cm-3 
6  Ar, cm-3
7  H, cm-3
8  N, cm-3

1         2         3         4         5         6         7         8         
    0.0  0.000E+00  2.184E+19  5.860E+18  1.466E+14  2.613E+17  0.000E+00  0.000E+00
   20.0  0.000E+00  1.262E+18  3.386E+17  8.469E+12  1.510E+16  0.000E+00  0.000E+00
   40.0  0.000E+00  4.744E+16  1.273E+16  3.183E+11  5.674E+14  0.000E+00  0.000E+00
   60.0  0.000E+00  2.814E+15  7.550E+14  1.889E+10  3.366E+13  0.000E+00  0.000E+00
   80.0  2.383E+09  1.751E+14  4.749E+13  1.242E+09  2.079E+12  1.719E+07  4.278E+04
  100.0  4.443E+11  7.252E+12  1.883E+12  1.144E+08  7.500E+10  1.854E+07  2.293E+05
  120.0  8.343E+10  2.558E+11  4.877E+10  6.885E+07  1.240E+09  4.665E+06  1.091E+06
  140.0  2.290E+10  3.683E+10  5.438E+09  5.103E+07  9.664E+07  1.608E+06  5.261E+06
  160.0  1.014E+10  1.028E+10  1.357E+09  4.021E+07  1.645E+07  8.072E+05  1.364E+07
  180.0  5.265E+09  3.471E+09  4.219E+08  3.353E+07  3.548E+06  5.435E+05  1.824E+07
  200.0  2.917E+09  1.264E+09  1.395E+08  2.869E+07  8.434E+05  4.425E+05  1.620E+07
  220.0  1.661E+09  4.762E+08  4.704E+07  2.483E+07  2.097E+05  3.968E+05  1.165E+07
  240.0  9.587E+08  1.826E+08  1.599E+07  2.161E+07  5.339E+04  3.716E+05  7.611E+06
  260.0  5.574E+08  7.080E+07  5.464E+06  1.886E+07  1.380E+04  3.546E+05  4.789E+06
  280.0  3.257E+08  2.767E+07  1.877E+06  1.648E+07  3.605E+03  3.411E+05  2.979E+06
  300.0  1.911E+08  1.088E+07  6.480E+05  1.442E+07  9.507E+02  3.292E+05  1.850E+06
  320.0  1.125E+08  4.306E+06  2.250E+05  1.263E+07  2.529E+02  3.182E+05  1.155E+06
  340.0  6.644E+07  1.714E+06  7.857E+04  1.108E+07  6.781E+01  3.077E+05  7.239E+05
  360.0  3.937E+07  6.860E+05  2.760E+04  9.717E+06  1.833E+01  2.978E+05  4.558E+05
  380.0  2.340E+07  2.760E+05  9.756E+03  8.532E+06  4.994E+00  2.883E+05  2.882E+05
  400.0  1.395E+07  1.117E+05  3.469E+03  7.497E+06  1.371E+00  2.791E+05  1.829E+05
  420.0  8.345E+06  4.543E+04  1.241E+03  6.593E+06  3.792E-01  2.703E+05  1.165E+05
  440.0  5.006E+06  1.857E+04  4.466E+02  5.803E+06  1.057E-01  2.618E+05  7.442E+04
  460.0  3.012E+06  7.635E+03  1.617E+02  5.110E+06  2.968E-02  2.536E+05  4.764E+04
  480.0  1.818E+06  3.155E+03  5.888E+01  4.504E+06  8.397E-03  2.457E+05  3.062E+04
  500.0  1.100E+06  1.310E+03  2.157E+01  3.973E+06  2.393E-03  2.381E+05  1.973E+04
  520.0  6.678E+05  5.470E+02  7.948E+00  3.507E+06  6.870E-04  2.308E+05  1.275E+04
  540.0  4.066E+05  2.295E+02  2.946E+00  3.098E+06  1.987E-04  2.238E+05  8.258E+03
  560.0  2.482E+05  9.676E+01  1.098E+00  2.738E+06  5.786E-05  2.170E+05  5.363E+03
  580.0  1.520E+05  4.101E+01  4.116E-01  2.422E+06  1.697E-05  2.104E+05  3.491E+03
  600.0  9.330E+04  1.746E+01  1.551E-01  2.144E+06  5.012E-06  2.041E+05  2.278E+03
  620.0  5.745E+04  7.473E+00  5.881E-02  1.899E+06  1.491E-06  1.980E+05  1.490E+03
  640.0  3.547E+04  3.214E+00  2.242E-02  1.683E+06  4.466E-07  1.921E+05  9.773E+02
  660.0  2.196E+04  1.389E+00  8.593E-03  1.493E+06  1.347E-07  1.864E+05  6.424E+02
  680.0  1.363E+04  6.028E-01  3.311E-03  1.325E+06  4.089E-08  1.810E+05  4.233E+02
  700.0  8.485E+03  2.630E-01  1.283E-03  1.177E+06  1.250E-08  1.757E+05  2.796E+02
  720.0  5.295E+03  1.152E-01  4.998E-04  1.046E+06  3.846E-09  1.706E+05  1.851E+02
  740.0  3.314E+03  5.074E-02  1.957E-04  9.307E+05  1.192E-09  1.657E+05  1.228E+02
  760.0  2.079E+03  2.244E-02  7.704E-05  8.284E+05  3.716E-10  1.609E+05  8.167E+01
  780.0  1.308E+03  9.973E-03  3.049E-05  7.377E+05  1.166E-10  1.563E+05  5.444E+01
  800.0  8.249E+02  4.451E-03  1.213E-05  6.574E+05  3.684E-11  1.519E+05  3.637E+01
  820.0  5.216E+02  1.996E-03  4.849E-06  5.862E+05  1.171E-11  1.476E+05  2.435E+01
  840.0  3.306E+02  8.989E-04  1.948E-06  5.231E+05  3.747E-12  1.434E+05  1.634E+01
  860.0  2.101E+02  4.066E-04  7.870E-07  4.671E+05  1.207E-12  1.394E+05  1.099E+01
  880.0  1.339E+02  1.847E-04  3.194E-07  4.173E+05  3.909E-13  1.356E+05  7.410E+00
  900.0  8.551E+01  8.430E-05  1.303E-07  3.730E+05  1.274E-13  1.318E+05  5.005E+00
  920.0  5.475E+01  3.863E-05  5.342E-08  3.337E+05  4.181E-14  1.282E+05  3.388E+00
  940.0  3.514E+01  1.778E-05  2.201E-08  2.987E+05  1.380E-14  1.247E+05  2.299E+00
  960.0  2.261E+01  8.218E-06  9.109E-09  2.675E+05  4.581E-15  1.213E+05  1.563E+00
  980.0  1.458E+01  3.814E-06  3.789E-09  2.397E+05  1.530E-15  1.180E+05  1.065E+00
 1000.0  9.426E+00  1.778E-06  1.583E-09  2.149E+05  5.142E-16  1.148E+05  7.269E-01
